,PER,LOC,ORG,DAT
2786, محمدعلی شاه حاج مهدی کوزه‌کنانی, رودخانه زاینده‌رود سامان باباپیر, دانشگاه کیل, ۱۵ دقیقه
2787, ستارخان باقرخان ثقهالاسلام تبریزی حاج مهدی کوزه‌کنانی, استان یزد, فرقه دومینیکن, در سال ۱۳۲۸ در سال ۱۳۵۶
2788, حاج مهدی کوزه‌کنانی, اصفهان یزد کرمان, جایزه گرمی جوایز گرمی جایزه موسیقی بیلبورد, شش ماه از سال
2789, حاج علی دوافروش ثقهالاسلام تبریزی ختایی هوارد باسکرویل علی مسیو آخوند خراسانی علی‌اکبر دهخدا, فلات مرکزی ایران شهرستان سمیرم استان اصفهان کهگیلویه و بویراحمد, تمدن روم, در سال ۲۰۳
2790, ستارخان, استان اصفهان استان یزد استان اصفهان استان یزد استان یزد, جایزه امی جایزه اسکار, در دو سده
2791, میرزا جعفر خامنه‌ای, استان اصفهان استان اصفهان, اکتورز استودیو, نیمه قرن هشتم
2792, جعفر خامنه‌ای حاج شیخ, پل خواجو, اکتورز استودیو اکتورز استودیو, نیمه اول سده هشتم
2793, شیخ عبدالله مازندرانی میرزا حسن مجتهد تبریزی, مونیخ آلمان باواریا, نیوزویک بنیاد فیلم آمریکا, مورخ قرن نهم
2794, صمد سرداری نیا میرزا جعفر خامنه‌ای یحیی آرین پور, ایران پاکستان افغانستان ترکمنستان, ایمی, در ابتدای سده چهارم
2795, مارکوپولو یاقوت حموی ژان شاردن اوژن فلاندن مقدسی, دریای مکران دریای عمان فلات ایران, شورای کتاب کودک, در روزگار در سده نهم
2796, شاه سلیمان شیخ صفی‌الدین اردبیلی, بلوچستان پاکستان ایران افغانستان دریای مکران, مجلس موسسان ایران, در سال ۹۳۶
2797, حاج شیخ میرزا محمد میرزا محمد, بلوچستان پاکستان ولایت قندهار ولایت نیمروز, دانشگاه لایدن, سال ۹۹۷ سال
2798, علی‌النقی شمس تبریزی, عمان امارات پنجاب کراچی, سیویلیکا, از سال ۹۹۳ در سال ۹۹۵ تا سال ۱۰۰۶
2799, صادق خان, گرگان ترکمنستان زنگبار تانزانیا, حزب کارگر مجلس عوام, در سال ۱۱۳۸
2800, مظفرالدین میرزا حاج شیخ, شهرستان سراوان, دانشگاه مالایا, مدت ۵۰ سال
2801, حاج شیخ حاج شیخ, شهرستان ایرانشهر, دانشگاه تهران دانشگاه صنعتی شریف, در سده نوزدهم
2802, شاه صفی شاه‌عباس بزرگ, بلوچستان پاکستان, گروه ویرجین, در روز ۱۳ مهر ۱۲۷۰
2803, سیدمهدی قاضی طباطبایی, بریستول, حزب سوسیالیست ملی کارگران ایران ناسیونال سوسیالیست, شش ماه
2804, محمد بهشتی, ایالت بلوچستان, حزب سومکا, در ۲۱ تیر ۱۳۱۴
2805, باقرخان سالار ملی, تهران ایران, دانشگاه صنعتی آریامهر دانشگاه صنعتی شریف, در دهه ۱۳۲۵
2806, مظفرالدین میرزا, عمان, دانشگاه تمپل دانشگاه ادینبرو دانشگاه جرج واشینگتن, در دهه ۱۳۳۵
2807, محمدعلی میرزا, دادگاه‌های انقلاب اسلامی, انجمن شاهنشاهی فلسفه, از سال ۱۳۴۵
2808, آخوند خراسانی, لس‌آنجلس, دانشگاه آمریکایی بیروت, در سال ۱۳۴۷ در سال ۱۳۵۰
2809, محمدکاظم خراسانی, شهر دبی ، امارات امارات متحده عربی, دفتر مرکزی حزب جبهه مشارکت ایران اسلامی جنبش دوم خرداد جریان اصلاحات شورای شهر تهران, ۱۵ دقیقه ۳۶ دقیقه ۴۳ دقیقه ۸ دقیقه
2810, سید عبدالله بهبهانی, آکادمی موسیقی گوگوش, باهماد آزادگان, چهل سال گذشته
2811, سردار اسعد بختیاری, عراق خلیج پارس, مرکز تحقیقات استراتژیک ریاست‌جمهوری, ۱۵۹۸ مورخ ۳ ژوئیه ۱۹۷۳ اول آوریل ۱۶۷۸ و ۲۶ فوریه ۱۸۸۳
2812, صمصام السلطنه, شهر کویت, وزارت اطلاعات جمهوری اسلامی ایران شورای اسلامی شهر تهران, در سده اخیر
2813, عین الدوله, بهبهان, روزنامه ایران جبهه دوم خرداد حزب مشارکت دانشگاه تهران, در سال ۱۳۴۵
2814, شمس تبریزی, خلیج پارس, صبح امروز جبهه دوم خرداد قوه مقننه, سال ۱۳۵۵ در سال ۱۳۹۵
2815, سعید نیکپور باقر خان, بلوک غرب, مرکز تحقیقات استراتژیک, مهدی سیدی
2816, عبدالصمد کامبخش, کشور صنعتی, شوراهای اسلامی شهر و روستا شورای شهر تهران, در تاریخ ۸ آبان ۱۳۸۸ سالروز
2817, ویاچسلاو مولوتف سرگئی کافتارادزه, نیروگاه‌های حرارتی, روزنامه صبح امروز, سده سوم
2818, سرگی کافتارادزه, پالایش نفت, شهرداری تهران شورای شهر, در سال ۱۳۴۰ در سال ۱۳۷۹
2819, جعفر پیشه‌وری, نیروگاه برق, مرکز استان مرکز استان مرکز استان, سال ۹۴
2820, پیشه‌وری, وزارت بازرگانی, راه‌آهن ایران, در فصل تابستان سال ۱۳۸۹
2821, قاضی محمد, شعیبیه پالایش نفت, نیروی هوایی ارتش جمهوری اسلامی ایران, پنج قرن
2822, فریدون کشاورز, آمریکای جنوبی دریای سرخ, جنرال موتورز, در سال ۱۵۵۶
2823, مهدی فرخ, ایستگاه رادیویی ایستگاه رادیویی, نیروی دریایی انگلستان, سال ۱۳۹۴
2824, حسین علاء, لینتس اتریش, جایزه اسکار جایزه اسکار اسکار, در سال ۱۲۶۷
2825, میرزا ابراهیم‌اف, دانشگاه‌های ایران, بوندسلیگا, در سال ۱۲۷۲
2826, علی رزم‌آرا, ایرلند دوبلین لیورپول, بایر لورکوزن, در سال ۱۲۸۴
2827, سلام‌الله جاوید, آشنایی سن, حزب سیاسی حزب محافظه‌کار, طی سه دهه
2828, رسول جعفریان, آرارات, بایرن‌مونیخ, از سال ۱۳۹۲
2829, خانبابا بیانی, پیاده‌روی مشاهیر هالیوود, باشگاه فوتبال باشگاه فوتبال, در سال ۱۳۱۳
2830, نصرت‌الله جهانشاهلو افشار جعفر پیشه‌وری غلام یحیی, سوئیسی, باشگاه فوتبال بوندسلیگا جام حذفی آلمان, از سال ۱۳۸۰
2831, انور خامه‌ای, آراگاتس, تیم فوتبال رئال مادرید باشگاه فوتبال آ ث میلان, از اوایل سال ۱۳۹۱
2832, نهیان, منطقه قفقاز آلکساندارپول ، ارمنستان, حزب نازی باشگاه فوتبال, در سال ۲۰۱۷ سال
2833, محمد بن راشد آل مکتوم حمدان, مینه‌سوتا داکوتای شمالی, بوندس لیگا, در ماه‌های محرم صفر
2834, راشد بن سعید آل مکتوم, تفلیس, باشگاه ورزشی کروزیرو, در ۱۲ دی ۱۳۲۸
2835, محمد بن راشد آل مکتوم شیخ‌نشین, ایستگاه راه‌آهن باتومی, سوپر جام فوتبال آلمان بورسیا دورتموند, ۲ ساعت از ساعت ۱۶
2836, شیخ زاید, قارص, بوندسلیگا بورسیا دورتموند, در سال ۱۳۶۰
2837, دیگو مارادونا, حیرت, جام حذفی آلمان بورسیا دورتموند باشگاه فوتبال بارسلونا سوپر جام فوتبال آلمان باشگاه فوتبال وولفسبورگ, در تاریخ دوم اردیبهشت ۱۳۷۵
2838, امیرنشین, آرامگاه عطار, بوندس‌لیگا جام حذفی آلمان, تا پایان سال ۸۲ از ۱۴ ساعت
2839, ابوالفضل بیهقی مسعود غزنوی, اشتوتگارت, سوپر جام فوتبال آلمان, در خرداد ۱۳۷۱
2840, ابوالحسن بیهقی ابوالفضل بیهقی, بایرن, باشگاه فوتبال بروسیا دورتموند باشگاه فوتبال رئال مادرید بوندس‌لیگا سوپر جام فوتبال آلمان, در سال ۱۳۷۲ ۲۱۰ ساعت صبح جمعه
2841, ابن فندق بیهقی ابوالحسن بیهقی, سوئیس اتریش, باشگاه فوتبال پاری سن ژرمن بایرن‌مونیخ, در ۱۹ اسفند ۱۳۷۶
2842, سبکتگین محمود غزنوی سلطان مسعود, مانهایم هایدلبرگ, بوندس‌لیگا باشگاه فوتبال رئال مادرید, تا تیر ۱۳۸۹
2843, ابوریحان بیرونی عبدالغفار, ایالت‌های آلمان کشور آلمان, بوندس‌لیگا باشگاه فوتبال آینتراخت فرانکفورت سوپر جام فوتبال آلمان باشگاه فوتبال آینتراخت فرانکفورت, ۲۴ ساعت
2844, سلطان محمود غزنوی مسعود غزنوی سلطان محمود, اتریش جمهوری چک, باشگاه فوتبال مونیخ ۱۸۶۰, در مهر ۱۳۵۰ پنج ساعت
2845, ابوالفضل بیهقی, ایالت‌های آلمان کاتولیک, باشگاه فوتبال نورنبرگ, در فصل ۹۲ ۹۳
2846, شاه تهماسب صفوی شاه اسماعیل دوم شاه محمد خدابنده, پوتسدام, بوندس لیگا بوندس‌لیگا ۲, در سال ۱۳۸۳
2847, وصال شیرازی, شورین, باشگاه فوتبال کایزرسلاوترن, در ۲ اسفند ۱۳۸۹
2848, نظامی گنجه‌ای, ساکسونی سفلی ایالت‌های آلمان, باشگاه فوتبال شالکه ۰۴ باشگاه فوتبال هامبورگ باشگاه فوتبال بروسیا مونشن گلادباخ, از ۵۰ دقیقه
2849, محمدعلی فروغی ابوالحسن فروغی, ایالت نیدرزاکسن وولفسبورگ, باشگاه فوتبال اشتوتگارت, ۳۵ دقیقه ۸ دقیقه
2850, محمدحسین فروغی, نوردراین وستفالن ایالت‌های آلمان, باشگاه فوتبال رئال مادرید باشگاه فوتبال آث میلان باشگاه فوتبال منچستریونایتد, در تاریخ ۲ اسفند ۱۳۹۵
2851, جلال همایی, نوردراین وستفالن کشور آلمان, بروسیا دورتموند, از ساعت ۶ صبح تا ۱۰ شب
2852, محمدعلی فروغی محمدعلی شاه, دوسلدورف کلن, باشگاه فوتبال بروسیا دورتموند, از آبان ۱۳۹۱
2853, اعتمادالسلطنه محمدحسن خان اعتمادالسلطنه, دورتموند اسن, حزب رایش سوسیالیست, ۵۵ سال
2854, محمدعلی فروغی محمدحسین فروغی علی بن ابی‌طالب, بن, حزب رایش سوسیالیست نیروی سوم, تا قبل از سال ۱۳۷۶
2855, محمدحسین فروغی هانری برگسون, نوردراین وستفالن ایالت نیدرزاکسن هسن هلند بلژیک, هایدلبرگر دروکماشینن, تا پایان سال ۱۳۹۴
2856, میرزا ملکم خان, مونستر بیلفلد پادربورن کلن بن لورکوزن برگیش گلادباخ آخن مونشن‌گلادباخ کرفلد ووپرتال زولینگن دوسلدورف, حزب اتحاد سوسیالیستی آلمان, در ۲۵ شهریور ۱۳۳۴ در ۴ آبان ۱۳۴۵
